subject_code,subject_name,lecture_hours_per_week,lab_hours_per_week,units,semester,program_specialization,year_level
COMP1,Introduction to Computing,2,3,3,1,IT_Core,1
COMP2,computer Programming 1 (Fuindamentals of Programming),2,3,3,1,IT_Core,1
GEC-UTS,Digital Design,3,0,3,1,General,1
GEC-MATH,Understanding the Self,3,0,3,1,General,1
GEC-TCW,Mathematics in the Modern World,3,0,3,1,General,1
GEC-ART,Art Appreciation,3,0,3,1,General,1
BSC1,Being Skills Course 1,1.5,0,1.5,1,General,1
PE1,Physical Fitness & Gymnastics,2,0,2,1,General,1
NSTP1,National Service Training Program 1,3,0,3,1,General,1
COMP3,Computer Programming 2 (Intermediate Programming),2,3,3,2,IT_Core,1
IT1,Computer Organization,2,3,3,2,IT_Core,1
IT3,Elective 1,2,3,3,2,IT_Core,1
GEC-PCOM,Purposive Communication,3,0,3,2,General,1
GEC-STS,"Science, Technology, and Society",3,0,3,2,General,1
EPC,English Proficiency,3,0,3,2,General,1
MATH1,College Algebra,3,0,3,2,General,1
BSC2,Being Skills Course 2,1.5,0,1.5,2,General,1
PE2,Rhytmic Activities,2,0,2,2,General,1
NSTP2,National Service Training Program 2,3,0,3,2,General,1
COMP4,Data Structures and Algorithms,2,3,3,3,IT_Advanced,1
IT5,Operating Systems,2,3,3,3,IT_Advanced,1
MATH2,Trigonometry,3,0,3,3,IT_Advanced,1
GEC-ETHICS,Ethics (Professional Ethics),3,0,3,1,General,2
IT2,Accounting Principles,3,0,3,1,IT_Advanced,2
IT4,Elective 2,2,3,3,1,IT_Advanced,2
IT6,Networking 1,2,3,3,1,IT_Advanced,2
IT7,Object-Oriented Programming,2,3,3,1,IT_Advanced,2
IT8,Web Systems and Technologies,2,3,3,1,IT_Advanced,2
IT9,Systems Analysis and Design,2,3,3,1,IT_Advanced,2
MATH3,Analytic Geometry,3,0,3,1,General,2
PE3,Individual & Dual Sports,2,0,2,1,General,2
COMP5,Information Management,2,3,3,2,IT_Advanced,2
IT10,Human Computer Interaction (HCI),2,3,3,2,IT_Advanced,2
IT11,Networking 2,2,3,3,2,IT_Advanced,2
IT12,Elective 3,2,3,3,2,IT_Advanced,2
IT14,Capstone Project 1,3,0,3,2,IT_Advanced,2
GEC-RPH,Readings in Philippine History,3,0,3,2,General,2
MATH3C,Probability and Statistics,3,0,3,2,General,2
MATH4,Differential Calculus,3,0,3,2,General,2
PE4,Team Sports and Recreation,2,0,2,2,General,2
IT13,Elective 4,2,3,3,3,IT_Advanced,2
IT15,Networking 3,2,3,3,3,IT_Advanced,2
MATH5,Integral Calculus,3,0,3,3,General,2
COMP6,Application Development & Emerging Technologies,2,3,3,1,IT_Advanced,3
IT16,Discrete Structures,3,0,3,1,IT_Advanced,3
IT17,Computer Troubleshooting and Repair,2,3,3,1,IT_Advanced,3
IT20,Networking 4,2,3,3,1,IT_Advanced,3
IT21,Capstone Project 2 - Technopreneurship,3,0,3,1,IT_Advanced,3
FL,Foreign Language,3,0,3,1,General,3
RIZAL,The Life and Works of Rizal,3,0,3,1,General,3
PHYS1,Calculus-based Physics 1,2,3,3,1,General,3
IT19,Seminars And Fieldtrip,3,0,3,3,IT_Advanced,3
PHYS2,Calculus-based Physics 2,2,3,3,3,General,3
